,accuracy,precision,recall,f1,fpr,fnr,roc_auc,L0_accuracy,L1_accuracy,L2_accuracy,L3_accuracy,L4_accuracy,L5_accuracy,L6_accuracy
azure-gpt-4o_KNNFewShot_74.6.csv,0.3194444444444444,0.921875,0.16954022988505746,0.28640776699029125,0.05952380952380952,0.8304597701149425,0.555008210180624,0.9404761904761905,0.3584905660377358,0.25,0.2631578947368421,0.1,0.05084745762711865,0.031746031746031744
ollama-codellama:13b_BootstrapFewShotWithRandomSearch_26.98.csv,0.625,0.7818181818181819,0.7413793103448276,0.7610619469026548,0.8571428571428571,0.25862068965517243,0.44211822660098526,0.14285714285714285,0.6981132075471698,0.6964285714285714,0.7192982456140351,0.7666666666666667,0.7796610169491526,0.7777777777777778
jplag_results_0.9.csv,0.4236111111111111,0.8613138686131386,0.3390804597701149,0.4865979381443299,0.2261904761904762,0.6609195402298851,0.5564449917898193,0.7738095238095238,0.9811320754716981,0.9464285714285714,0.21052631578947367,0.0,0.01694915254237288,0.0
ollama-mistral_BootstrapFewShotWithRandomSearch_44.44.csv,0.4976851851851852,0.8291457286432161,0.47413793103448276,0.603290676416819,0.40476190476190477,0.5258620689655172,0.534688013136289,0.5952380952380952,0.6415094339622641,0.6071428571428571,0.42105263157894735,0.4166666666666667,0.4067796610169492,0.38095238095238093
azure-gpt-4o_MIPROv2_73.02.csv,0.7037037037037037,0.8691275167785235,0.7442528735632183,0.8018575851393189,0.4642857142857143,0.2557471264367816,0.6399835796387521,0.5357142857142857,1.0,0.9285714285714286,0.9473684210526315,0.7666666666666667,0.5423728813559322,0.3492063492063492
azure-gpt-4o_BootstrapFewShotWithRandomSearch_76.19.csv,0.7870370370370371,0.8575418994413407,0.882183908045977,0.8696883852691218,0.6071428571428571,0.11781609195402298,0.6375205254515599,0.39285714285714285,1.0,0.9821428571428571,1.0,0.9,0.864406779661017,0.5873015873015873
ollama-codegemma_BootstrapFewShotWithRandomSearch_7.94.csv,0.2824074074074074,0.8064516129032258,0.14367816091954022,0.24390243902439024,0.14285714285714285,0.8563218390804598,0.5004105090311988,0.8571428571428571,0.1320754716981132,0.10714285714285714,0.15789473684210525,0.15,0.1694915254237288,0.14285714285714285
azure-gpt-35-turbo_BootstrapFewShot_41.27.csv,0.23842592592592593,1.0,0.05459770114942529,0.10354223433242507,0.0,0.9454022988505747,0.5272988505747126,1.0,0.18867924528301888,0.05357142857142857,0.08771929824561403,0.016666666666666666,0.0,0.0
azure-gpt-35-turbo_KNNFewShot_52.38.csv,0.33101851851851855,0.797979797979798,0.22701149425287356,0.3534675615212528,0.23809523809523808,0.7729885057471264,0.4944581280788177,0.7619047619047619,0.2830188679245283,0.26785714285714285,0.42105263157894735,0.2,0.0847457627118644,0.12698412698412698
azure-gpt-35-turbo_BootstrapFewShotWithRandomSearch_69.84.csv,0.47685185185185186,0.9013157894736842,0.3936781609195402,0.548,0.17857142857142858,0.6063218390804598,0.6075533661740559,0.8214285714285714,0.7358490566037735,0.5714285714285714,0.5263157894736842,0.31666666666666665,0.15254237288135594,0.12698412698412698
ollama-deepseek-coder_BootstrapFewShotWithRandomSearch_36.51.csv,0.44907407407407407,0.8395061728395061,0.39080459770114945,0.5333333333333333,0.30952380952380953,0.6091954022988506,0.5406403940886699,0.6904761904761905,0.4716981132075472,0.35714285714285715,0.45614035087719296,0.31666666666666665,0.3728813559322034,0.38095238095238093
azure-gpt-4o_BootstrapFewShot_71.43.csv,0.7615740740740741,0.8678678678678678,0.8304597701149425,0.8487518355359766,0.5238095238095238,0.16954022988505746,0.6533251231527093,0.47619047619047616,0.9811320754716981,0.9821428571428571,0.9649122807017544,0.85,0.7457627118644068,0.5079365079365079
jplag_results_0.75.csv,0.4375,0.8620689655172413,0.35919540229885055,0.5070993914807302,0.23809523809523808,0.6408045977011494,0.5605500821018062,0.7619047619047619,0.9811320754716981,0.9642857142857143,0.2631578947368421,0.05,0.01694915254237288,0.0
ollama-phi3_BootstrapFewShotWithRandomSearch_0.0.csv,0.2361111111111111,0.8461538461538461,0.06321839080459771,0.11764705882352941,0.047619047619047616,0.9367816091954023,0.5077996715927751,0.9523809523809523,0.05660377358490566,0.08928571428571429,0.10526315789473684,0.03333333333333333,0.03389830508474576,0.06349206349206349
ollama-llama3_BootstrapFewShotWithRandomSearch_57.14.csv,0.7152777777777778,0.8082191780821918,0.8477011494252874,0.8274894810659187,0.8333333333333334,0.15229885057471265,0.507183908045977,0.16666666666666666,0.8679245283018868,0.7321428571428571,0.8421052631578947,0.8833333333333333,0.864406779661017,0.8888888888888888
azure-gpt-4o_MIPROv2_tunedLevels_90.48.csv,0.6527777777777778,0.8991935483870968,0.6408045977011494,0.7483221476510067,0.2976190476190476,0.35919540229885055,0.6715927750410509,0.7023809523809523,0.8867924528301887,0.8392857142857143,0.8245614035087719,0.5833333333333334,0.4915254237288136,0.2857142857142857
ollama-gemma2_BootstrapFewShotWithRandomSearch_50.79.csv,0.39814814814814814,0.8384615384615385,0.3132183908045977,0.4560669456066946,0.25,0.6867816091954023,0.5316091954022988,0.75,0.4339622641509434,0.39285714285714285,0.5263157894736842,0.2833333333333333,0.23728813559322035,0.047619047619047616
ollama-codestral_BootstrapFewShotWithRandomSearch_52.38.csv,0.4837962962962963,0.8491620111731844,0.4367816091954023,0.5768500948766604,0.32142857142857145,0.5632183908045977,0.5576765188834155,0.6785714285714286,0.6792452830188679,0.5714285714285714,0.5964912280701754,0.3,0.3050847457627119,0.2222222222222222
